"currency","high","latest_trade","weighted_price","bid","volume","ask","low","duration","close","avg","symbol","currency_volume"
"218","USD",NA,1512815336,NA,16500,0,17350,NA,88389,16500,NA,"allcoinUSD",0
"219","BRL",NA,1422861736,NA,654.5004,0,659.99,NA,88389,654.5,NA,"btc2uBRL",0
"220","EUR",6647.05,1528243340,6411.60064892697,6425.06,4.98432401,6549.92,6334.85,88566,6469.75,6411.60064892697,"bcEUR",31957.4950569783
"221","JPY",840000,1528252565,824529.101495504,835201,8993.30118469,836200,812500,88566,836143,824529.101495504,"bitflyerJPY",7415238545.2909
"222","CLP",5061250,1528247198,4951198.9181873,4950000,0.86088701,5009790,4780000,88566,5009440,4951198.9181873,"chilebitCLP",4262422.8325935
"223","PKR",1e+06,1528252516,991392.14139537,7e+05,0.00356221,1e+06,7e+05,88566,7e+05,991392.14139537,"urdubitPKR",3531.547
"224","VEF",NA,1527997881,NA,70005,0,199999999,NA,88566,199999999,NA,"surbtcVEF",0
"225","VND",1.75e+08,1528245384,171478151.94793,173404300,8.82378632,174832900,1.7e+08,88566,173404300,171478151.94793,"vbtcVND",1513086571.33703
"226","BRL",29355,1528252508,29000.99857356,29201,130.92404464,29290,28415.01,88566,29201,29000.99857356,"foxbitBRL",3796928.03184934
"227","JPY",839675,1528252559,825180.213656665,835181,9039.6974,837342,808794,88566,835421,825180.213656665,"btcboxJPY",7459379431.9236
"228","JPY",841400,1528252555,825359.171340763,835515,8721.5434,835960,810500,88566,835495,825359.171340763,"zaifJPY",7198405833.4365
"229","USD",7831.73,1528251842,7635.07197868053,7761.43,65.6114,7780.38,7535,88566,7830.51,7635.07197868053,"okcoinUSD",500947.761622
"230","PLN",28550.01,1528236042,27476.4776825747,26550.02,1.29433287,27859.42,26550.02,88566,28550.01,27476.4776825747,"bitmaszynaPLN",35563.7082163778
"231","USD",NA,1509090671,NA,20000,0,NA,NA,88390,7500,NA,"indacoinUSD",0
"232","GBP",NA,1503381731,NA,2990,0,3239.999,NA,88390,3018,NA,"krakenGBP",0
"233","VEF",1e+11,1528251300,14347166754.1674,785504418590,95.94261811,680851622.31,2439472618.55,88566,13560063426.1,14347166754.1674,"localbtcVEF",1376504740855.57
"234","USD",7800,1528252554,7667.54702064373,7710.52,657.6124083,7755.8,7535.035,88566,7710.52,7667.54702064373,"wexUSD",5042274.06199901
"235","EUR",6685.69,1528244951,6506.4205362897,6500,2.96761547,6617.41,6015,88566,6500,6506.4205362897,"coinfalconEUR",19308.554237819
